Time;"device ID";Latitude;Longitude;Altitude;Speed;Degrees;Direction;Status;"Last RX time"
1670247975;1;51.912629346054;4.3415736614154;-666;-666;2147483.647;N/A;1.5;0
1670248033;1;51.99862;4.374138;-666;0.169;0;N;2;0
1670248054;1;51.998633;4.374265;70.4;0;0;N;2;0
1670248075;1;51.998629;4.374244;75.1;0;0;N;2;0
1670248115;1;51.998645;4.374275;78.9;0;0;N;2;0
1670248134;1;51.998634;4.374221;79;0;248.5;W;2;0
1670248154;1;51.998646;4.374259;86.1;0;248.5;W;2;0
1670248174;1;51.99863;4.374246;88.8;0;248.5;W;2;0
1670248194;1;51.998605;4.374208;87.3;0;248.5;W;2;0
1670248214;1;51.998546;4.374077;81;0;250.6;W;2;0
1670248234;1;51.998533;4.374068;82.8;0;250.6;W;2;0
1670248254;1;51.998516;4.374026;79.2;0;250.6;W;2;0
1670248275;1;51.998516;4.374031;79.8;0;250.6;W;2;0
1670248295;1;51.998547;4.374141;85.8;0;71.38;E;2;0
1670248315;1;51.998541;4.374111;84.6;0;243.55;SW;2;0
1670248334;1;51.998497;4.374008;80.3;0;244.28;SW;2;0
1670248353;1;51.998511;4.373981;79.3;0;244.28;SW;2;0
1670248373;1;51.998492;4.373929;75.5;0;244.28;SW;2;0
1670248401;1;51.998464;4.3739;74.2;0;244.28;SW;2;0
1670248420;1;51.998434;4.373792;70.1;0;244.28;SW;2;0
1670248440;1;51.998472;4.373886;76.5;0;244.28;SW;2;0
1670248459;1;51.998488;4.373879;71.5;0;42.97;NE;2;0
1670248479;1;51.998461;4.373836;67.7;0;42.97;NE;2;0
1670248497;1;51.998458;4.373794;64.3;0;42.97;NE;2;0
1670248538;1;51.998449;4.373746;63.8;0;42.97;NE;2;0
1670248557;1;51.998432;4.373714;61.9;0;42.97;NE;2;0
1670248577;1;51.998436;4.373707;59.3;0;42.97;NE;2;0
1670248598;1;51.998443;4.373707;57.9;0;42.97;NE;2;0
1670248618;1;51.998447;4.373668;55.3;0;252.7;W;2;0
1670248637;1;51.998452;4.373666;54.9;0;252.7;W;2;0
1670248657;1;51.998454;4.373679;54.2;0;252.7;W;2;0
1670248677;1;51.998462;4.373682;54.6;0;252.7;W;2;0
1670248697;1;51.998465;4.373669;53.6;0;252.7;W;2;0
1670248717;1;51.998471;4.373668;53.8;0;252.7;W;2;0
1670248737;1;51.998471;4.373671;53.8;0;252.7;W;2;0
1670248756;1;51.998468;4.37367;54.5;0;252.7;W;2;0
1670248779;1;51.998475;4.37366;55.2;0;252.7;W;2;0
1670248799;1;51.998458;4.373573;50.9;0;271.75;W;2;0
1670248819;1;51.998453;4.373554;50.7;0;271.75;W;2;0
1670248861;1;51.998466;4.373556;51.8;0;271.75;W;2;0
1670248883;1;51.998476;4.373582;49.2;0;271.75;W;2;0
1670248905;1;51.998492;4.373617;50.8;0;271.75;W;2;0
1670248926;1;51.998504;4.373638;51;0;271.75;W;2;0
1670248947;1;51.998504;4.373629;50.9;0;271.75;W;2;0
1670248968;1;51.99853;4.373646;51.4;0;271.75;W;2;0
1670249005;1;51.998538;4.37365;52.1;0.086;271.75;W;2;0
1670249025;1;51.998543;4.373653;52.8;0;271.75;W;2;0
1670249047;1;51.998537;4.373646;53.4;0;271.75;W;2;0
1670249086;1;51.99853;4.373644;53.1;0;271.75;W;2;0
1670249621;1;51.998503;4.373667;49.9;0;255.64;W;2;0
1670249640;1;51.998505;4.373699;48;0;255.64;W;2;0
1670249659;1;51.998523;4.373696;47.2;0;255.64;W;2;0
1670249677;1;51.998529;4.373691;47.6;0;255.64;W;2;0
1670249714;1;51.998548;4.373687;48.2;0;255.64;W;2;0
1670249732;1;51.998543;4.373688;48.4;0;255.64;W;2;0
1670249752;1;51.998541;4.373682;49;0;255.64;W;2;0
