Time;"device ID";Latitude;Longitude;Altitude;Speed;Degrees;Direction;Status;"Last RX time"
1669040863;1;;;666;666;10;NE;1;0
1669040935;1;;;666;666;10;NE;1;0
1669040967;1;51.925321268817;4.4758906960487;666;666;10;NE;1;0
1669040989;1;51.999106;4.372752;64;0;10;NE;2;0
1669041011;1;51.999036;4.372991;78.2;0;10;NE;2;0
1669041032;1;51.998993;4.373158;89.8;0;10;NE;2;0
1669041053;1;51.998904;4.373551;118;0;10;NE;2;0
1669041073;1;51.998901;4.373569;119.9;0;10;NE;2;0
1669041094;1;51.998882;4.373578;120.8;0;10;NE;2;0
1669041114;1;51.998879;4.373596;120.6;0;10;NE;2;0
1669041134;1;51.998885;4.373622;121.2;0;10;NE;2;0
1669041154;1;51.998885;4.373624;121.1;0;10;NE;2;0
1669041175;1;51.998886;4.373621;121;0;10;NE;2;0
1669041196;1;51.998885;4.37361;120.8;0;10;NE;2;0
1669041216;1;51.998884;4.373598;120.9;0;10;NE;2;0
1669041236;1;51.998884;4.373591;121.2;0;10;NE;2;0
1669041257;1;51.998887;4.373587;121.5;0;10;NE;2;0
1669041277;1;51.998889;4.373588;121.8;0;10;NE;2;0
1669041519;1;51.998915;4.373611;122.1;0;10;NE;2;0
1669041538;1;51.998914;4.373615;121.8;0;10;NE;2;0
1669041558;1;51.998915;4.373621;121.5;0;10;NE;2;0
1669041578;1;51.998917;4.373627;121.4;0;10;NE;2;0
1669041598;1;51.998913;4.373625;120.7;0;10;NE;2;0
1669041618;1;51.998915;4.373626;120.5;0;10;NE;2;0
1669041638;1;51.998916;4.373633;120.3;0;10;NE;2;0
1669041659;1;51.998917;4.373639;120.3;0;10;NE;2;0
1669041680;1;51.998916;4.373664;120.5;0;10;NE;2;0
1669041699;1;51.998918;4.373671;120.5;0;10;NE;2;0
1669041719;1;51.99892;4.373672;120.3;0;10;NE;2;0
1669041739;1;51.998917;4.373676;120.1;0;10;NE;2;0
1669041758;1;51.998912;4.373675;119.9;0;10;NE;2;0
1669041779;1;51.99891;4.373678;119.6;0;10;NE;2;0
1669041799;1;51.998914;4.373679;119.9;0;10;NE;2;0
1669041819;1;51.998915;4.373687;120.1;0;10;NE;2;0
1669041839;1;51.998893;4.373664;118.4;0;10;NE;2;0
1669041885;1;51.998868;4.373867;109.4;0;10;NE;2;0
1669041905;1;51.998943;4.373829;112.9;0;10;NE;2;0
1669041924;1;51.998972;4.373786;107.6;0;10;NE;2;0
1669041945;1;51.998987;4.373794;106.7;0;10;NE;2;0
1669041964;1;51.998998;4.3738;106.3;0;10;NE;2;0
1669041983;1;51.998996;4.373805;104.7;0.534;10;NE;2;0
1669042003;1;51.998994;4.373786;104.5;0;10;NE;2;0
1669042025;1;51.998986;4.373803;104.5;0;10;NE;2;0
1669042045;1;51.99898;4.373797;109.2;0;10;NE;2;0
1669042063;1;51.998978;4.373806;109.2;0;10;NE;2;0
1669042081;1;51.998978;4.373763;109.1;0;10;NE;2;0
1669042100;1;51.998977;4.373776;108.7;0;10;NE;2;0
1669042119;1;51.998976;4.373791;109.1;0;10;NE;2;0
1669042138;1;51.998976;4.373824;111.1;0;10;NE;2;0
1669042157;1;51.99898;4.373829;111.2;0;10;NE;2;0
1669042175;1;51.998987;4.373827;111.9;0;10;NE;2;0
1669042194;1;51.998988;4.373832;111.5;0;10;NE;2;0
1669042213;1;51.99899;4.373845;111;0;10;NE;2;0
1669042232;1;51.998993;4.373841;111.7;0;10;NE;2;0
1669042249;1;51.99902;4.373856;111.7;0.65;10;NE;2;0
1669042267;1;51.99903;4.373821;111.7;0;10;NE;2;0
1669042286;1;51.999031;4.373807;111.7;0;10;NE;2;0
1669042308;1;51.999037;4.373824;114.8;0;10;NE;2;0
1669042326;1;51.999041;4.373848;115.6;0;10;NE;2;0
1669042343;1;51.999043;4.373866;116.4;0;10;NE;2;0
1669042360;1;51.999043;4.373873;116.4;0;10;NE;2;0
1669042382;1;51.999046;4.373892;116.7;0;10;NE;2;0
1669042399;1;51.999046;4.373904;117.1;0;10;NE;2;0
1669042418;1;51.999046;4.373916;118.2;0;10;NE;2;0
1669042440;1;51.999046;4.373921;118.8;0;10;NE;2;0
1669042461;1;51.999046;4.373948;120.9;0;10;NE;2;0
1669042486;1;51.999048;4.373948;121.5;0;10;NE;2;0
1669042508;1;51.999042;4.373933;121.3;0;10;NE;2;0
1669042529;1;51.999037;4.373931;121.3;0;10;NE;2;0
1669042550;1;51.999028;4.373927;121.7;0;10;NE;2;0
1669042572;1;51.999023;4.373926;121.9;0;10;NE;2;0
1669042593;1;51.999022;4.373919;122.2;0;10;NE;2;0
1669042614;1;51.999015;4.373904;122.7;0;10;NE;2;0
1669042635;1;51.999008;4.373889;122.5;0;10;NE;2;0
1669042657;1;51.999;4.373883;122.3;0;10;NE;2;0
1669042679;1;51.998995;4.373884;122.8;0;10;NE;2;0
1669042701;1;51.998995;4.373874;123;0;10;NE;2;0
1669042722;1;51.998995;4.37386;122.9;0;10;NE;2;0
1669042743;1;51.998996;4.373845;122.8;0;10;NE;2;0
1669042765;1;51.998996;4.373836;122.7;0;10;NE;2;0
1669042787;1;51.999;4.373837;122.9;0;10;NE;2;0
1669042808;1;51.999001;4.373841;123.2;0;10;NE;2;0
1669042829;1;51.999003;4.37385;123.6;0;10;NE;2;0
1669042850;1;51.999003;4.373854;123.7;0;10;NE;2;0
1669042871;1;51.999001;4.373848;123.9;0;10;NE;2;0
1669042892;1;51.999;4.373843;123.6;0;10;NE;2;0
1669042914;1;51.999;4.373837;123.5;0;10;NE;2;0
1669042935;1;51.998994;4.373827;123.4;0;10;NE;2;0
1669042957;1;51.998993;4.373829;123.4;0;10;NE;2;0
1669042978;1;51.998998;4.373833;123.7;0;10;NE;2;0
1669042999;1;51.999;4.373833;123.5;0;10;NE;2;0
1669043020;1;51.999002;4.373829;123.3;0;10;NE;2;0
1669043041;1;51.999003;4.373827;123.4;0;10;NE;2;0
1669043061;1;51.999006;4.373828;123.4;0;10;NE;2;0
1669043087;1;51.999008;4.373819;123.4;0;10;NE;2;0
1669043109;1;51.999029;4.373868;122.8;0.55;10;NE;2;0
1669043130;1;51.999041;4.373908;120.6;0;10;NE;2;0
1669043152;1;51.999038;4.373896;120.7;0;10;NE;2;0
1669043175;1;51.999033;4.373893;119.9;0;10;NE;2;0
1669043196;1;51.999019;4.373899;119.7;0;10;NE;2;0
1669043217;1;51.999006;4.373899;119.4;0;10;NE;2;0
1669043239;1;51.998995;4.373888;119.2;0;10;NE;2;0
1669043260;1;51.998988;4.373873;118.6;0;10;NE;2;0
1669043282;1;51.998987;4.373861;118.5;0;10;NE;2;0
1669043304;1;51.998983;4.373857;118.2;0;10;NE;2;0
1669043325;1;51.998978;4.37385;118;0;10;NE;2;0
1669043346;1;51.998973;4.373842;117.9;0;10;NE;2;0
1669043368;1;51.998972;4.373832;117.9;0;10;NE;2;0
1669043389;1;51.99897;4.373827;118.1;0;10;NE;2;0
1669043411;1;51.998959;4.373823;120.7;0;10;NE;2;0
1669043432;1;51.998957;4.373818;120.6;0;10;NE;2;0
1669043453;1;51.998957;4.373841;119.2;0;10;NE;2;0
1669043474;1;51.998954;4.373842;119.2;0;10;NE;2;0
1669043495;1;51.998945;4.373833;120.8;0;10;NE;2;0
1669043516;1;51.998941;4.373824;121;0;10;NE;2;0
1669043536;1;51.99894;4.373818;121;0;10;NE;2;0
1669043687;1;51.998953;4.373797;119.5;0;10;NE;2;0
1669043707;1;51.998956;4.373798;119.5;0;10;NE;2;0
1669043725;1;51.998958;4.373799;119.4;0;10;NE;2;0
1669043745;1;51.998959;4.373801;119.4;0;10;NE;2;0
1669043764;1;51.998958;4.373797;119.4;0;10;NE;2;0
