Time;"device ID";Latitude;Longitude;Altitude;Speed;Degrees;Direction;Status;"Last RX time"
1668834306;1;52.438351;4.6535;36.5;11.161;10;NE;2;0
1668834784;1;52.416971;4.64923;41.3;0;10;NE;2;0
1668834804;1;52.416974;4.649237;44;0;10;NE;2;0
1668834863;1;52.412657;4.650988;46;10.955;10;NE;2;0
1668834882;1;52.41067;4.651328;45;10.366;10;NE;2;0
1668834901;1;52.409103;4.650664;46;7.297;10;NE;2;0
1668834919;1;52.408846;4.650453;45.7;0;10;NE;2;0
1668834938;1;52.40786;4.65006;45.2;10.39;10;NE;2;0
1668834958;1;52.406057;4.649126;48.9;11.055;10;NE;2;0
1668834976;1;52.40454;4.648313;50.3;7.58;10;NE;2;0
1668835056;1;52.398191;4.643509;46.9;10.725;10;NE;2;0
1668835075;1;52.396531;4.641765;46;10.788;10;NE;2;0
1668835133;1;52.391698;4.639081;48.3;6.03;10;NE;2;0
1668835171;1;52.389573;4.639351;49.5;8.143;10;NE;2;0
1668835357;1;52.387127;4.637776;65.3;4.23;10;NE;2;0
1668835378;1;52.386968;4.636738;52.5;5.008;10;NE;2;0
1668835399;1;52.386066;4.636361;58.4;5.925;10;NE;2;0
1668835420;1;52.385972;4.634139;58.1;7.041;10;NE;2;0
1668835459;1;52.381514;4.631978;53.1;14.05;10;NE;2;0
1668835479;1;52.379976;4.632729;61.3;0;10;NE;2;0
1668835499;1;52.379961;4.632746;59.6;0;10;NE;2;0
1668835519;1;52.379094;4.633925;56.4;10.427;10;NE;2;0
1668835539;1;52.377845;4.636512;57.4;9.963;10;NE;2;0
1668835559;1;52.377311;4.638698;58.3;9.706;10;NE;2;0
1668835577;1;52.376952;4.640507;50.4;8.227;10;NE;2;0
1668835597;1;52.375823;4.643;45.7;15.663;10;NE;2;0
1668835636;1;52.371375;4.641236;42.5;0;10;NE;2;0
1668835656;1;52.370386;4.642112;45.5;14.23;10;NE;2;0
1668835674;1;52.369578;4.644305;47;11.294;10;NE;2;0
1668835693;1;52.368337;4.646094;46.9;9.111;10;NE;2;0
1668835733;1;52.367512;4.648364;51.8;11.686;10;NE;2;0
1668835952;1;52.360632;4.660631;51.2;8.766;10;NE;2;0
1668835989;1;52.360693;4.665162;52.1;12.782;10;NE;2;0
1668836028;1;52.356622;4.669401;43.7;21.98;10;NE;2;0
1668836084;1;52.346315;4.675052;38.5;18.869;10;NE;2;0
1668836102;1;52.344427;4.676947;37.4;3.352;10;NE;2;0
1668836137;1;52.342794;4.678578;43.2;13.55;10;NE;2;0
1668836158;1;52.340565;4.680301;46.2;16.777;10;NE;2;0
1668836198;1;52.334662;4.673747;40.1;22.036;10;NE;2;0
1668836217;1;52.33192;4.669545;41.2;22.057;10;NE;2;0
1668836236;1;52.329804;4.664191;47.3;21.119;10;NE;2;0
1668836258;1;52.328713;4.658927;43.4;20.18;10;NE;2;0
1668836278;1;52.326654;4.653909;46.9;14.738;10;NE;2;0
1668836298;1;52.324869;4.653548;44.6;10.283;10;NE;2;0
1668836338;1;52.324509;4.65421;44.4;0;10;NE;2;0
1668836359;1;52.324511;4.654212;44.9;0;10;NE;2;0
1668839804;1;52.251725;4.674027;41.2;23.019;10;NE;2;0
1668839822;1;52.248786;4.669748;41.1;23.086;10;NE;2;0
1668839841;1;52.246069;4.665601;41.4;23.034;10;NE;2;0
1668839858;1;52.243301;4.661531;40.7;23.041;10;NE;2;0
1668839876;1;52.241505;4.657267;43;19.809;10;NE;2;0
1668839895;1;52.240227;4.65386;44.9;9.027;10;NE;2;0
1668839913;1;52.239113;4.654556;48.2;12.433;10;NE;2;0
1668839932;1;52.237619;4.657334;48.4;16.455;10;NE;2;0
1668839950;1;52.235386;4.661594;46.7;23.147;10;NE;2;0
1668839968;1;52.232907;4.666108;48;23.061;10;NE;2;0
1668839987;1;52.231153;4.668871;50.8;11.404;10;NE;2;0
