Time;"device ID";Latitude;Longitude;Altitude;Speed;Degrees;Direction;Status;"Last RX time"
1668877708;1;52.29725;4.67045;43.8;0;10;NE;2;0
1668878568;1;52.324565;4.65409;34.3;0;10;NE;2;0
1668878588;1;52.324574;4.654104;36;0;10;NE;2;0
1668878607;1;52.324574;4.654112;37.8;0;10;NE;2;0
1668878625;1;52.324578;4.654111;39.4;0;10;NE;2;0
1668878644;1;52.324578;4.65411;41.5;0;10;NE;2;0
1668878663;1;52.325318;4.652865;40.9;10.915;10;NE;2;0
1668878850;1;52.344733;4.676678;36.2;0;10;NE;2;0
1668878868;1;52.344718;4.676696;36.2;0;10;NE;2;0
1668878887;1;52.344713;4.676694;36;0;10;NE;2;0
1668878928;1;52.347664;4.673725;42.7;16.941;10;NE;2;0
1668878988;1;52.354709;4.669617;39.6;21.897;10;NE;2;0
1668879436;1;52.378002;4.635806;40.6;9.83;10;NE;2;0
1668879455;1;52.379246;4.633663;49.9;8.025;10;NE;2;0
1668879475;1;52.379944;4.632763;48.9;0.766;10;NE;2;0
1668879495;1;52.380146;4.63261;55.7;0;10;NE;2;0
1668879516;1;52.380153;4.632622;59.7;0;10;NE;2;0
1668879538;1;52.380211;4.632579;62.5;2.973;10;NE;2;0
1668879558;1;52.381531;4.631968;70.9;8.883;10;NE;2;0
1668879579;1;52.383119;4.632565;93.9;11.786;10;NE;2;0
1668879600;1;52.384874;4.633874;91;10.02;10;NE;2;0
1668881507;1;52.389036;4.639086;41.1;8.175;10;NE;2;0
1668881526;1;52.390188;4.640224;47.4;6.574;10;NE;2;0
1668881546;1;52.391472;4.640619;52.9;8.527;10;NE;2;0
1668882329;1;52.432757;4.658592;45.9;8.868;10;NE;2;0
