did,tmTTN,tmdata,lat,lng,alt,spd,deg,dir,satNum,rxs,voltageBattery,voltageSolar,txCount,rxCount,txPeriodMinutes,charging
2,1698069088,-86400,666,666,-666,-666,-666,N/A,0,1,3723,4,22,169,2,1
2,1698069098,-86400,666,666,-666,-666,-666,N/A,0,1,3723,4,22,169,2,1
2,1698069365,-86400,666,666,-666,-666,-666,N/A,0,1,3694,1,24,169,2,1
2,1698069375,-86400,666,666,-666,-666,-666,N/A,0,1,3694,1,24,169,2,1
2,1698069642,-86400,666,666,-666,-666,-666,N/A,0,1,3725,3,26,169,2,1
2,1698069652,-86400,666,666,-666,-666,-666,N/A,0,1,3725,3,26,169,2,1
2,1698069919,-86400,666,666,-666,-666,-666,N/A,0,1,3738,3,28,169,2,1
2,1698069933,-86400,666,666,-666,-666,-666,N/A,0,1,3738,3,28,169,2,1
2,1698070197,-86400,666,666,-666,-666,-666,N/A,0,1,3731,1,30,169,2,1
2,1698070207,-86400,666,666,-666,-666,-666,N/A,0,1,3731,1,30,169,2,1
2,1698070474,-86400,666,666,-666,-666,-666,N/A,0,1,3761,3,32,169,2,1
2,1698070484,-86400,666,666,-666,-666,-666,N/A,0,1,3761,3,32,169,2,1
2,1698070752,-86400,666,666,-666,-666,-666,N/A,0,1,3710,1,34,169,2,1
2,1698070762,-86400,666,666,-666,-666,-666,N/A,0,1,3710,1,34,169,2,1
2,1698071029,-86400,666,666,-666,-666,-666,N/A,0,1,3707,1,36,169,2,1
2,1698071039,-86400,666,666,-666,-666,-666,N/A,0,1,3707,1,36,169,2,1
2,1698071306,-86400,666,666,-666,-666,-666,N/A,0,1,3718,3,38,169,2,1
2,1698071316,-86400,666,666,-666,-666,-666,N/A,0,1,3718,3,38,169,2,1
2,1698071584,-86400,666,666,-666,-666,-666,N/A,0,1,3713,1,40,169,2,1
2,1698071594,-86400,666,666,-666,-666,-666,N/A,0,1,3713,1,40,169,2,1
2,1698071861,-86400,666,666,-666,-666,-666,N/A,0,1,3639,1,42,169,2,1
2,1698071871,-86400,666,666,-666,-666,-666,N/A,0,1,3639,1,42,169,2,1
2,1698072138,-86400,666,666,-666,-666,-666,N/A,0,1,3685,1,44,169,2,1
2,1698072148,-86400,666,666,-666,-666,-666,N/A,0,1,3685,1,44,169,2,1
2,1698072416,-86400,666,666,-666,-666,-666,N/A,0,1,3690,1,46,169,2,1
2,1698072426,-86400,666,666,-666,-666,-666,N/A,0,1,3690,1,46,169,2,1
2,1698072693,-86400,666,666,-666,-666,-666,N/A,0,1,3710,1,48,169,2,1
2,1698072703,-86400,666,666,-666,-666,-666,N/A,0,1,3710,1,48,169,2,1
2,1698072970,-86400,666,666,-666,-666,-666,N/A,0,1,3705,3,50,169,2,1
2,1698072980,-86400,666,666,-666,-666,-666,N/A,0,1,3705,3,50,169,2,1
2,1698079359,-86400,666,666,-666,-666,-666,N/A,0,1,3691,3,96,169,2,1
2,1698079626,-86400,666,666,-666,-666,-666,N/A,0,1,3691,3,98,169,2,1
2,1698079636,-86400,666,666,-666,-666,-666,N/A,0,1,3691,3,98,169,2,1
2,1698079904,-86400,666,666,-666,-666,-666,N/A,0,1,3700,0,100,169,2,1
2,1698079913,-86400,666,666,-666,-666,-666,N/A,0,1,3700,0,100,169,2,1
2,1698080180,-86400,666,666,-666,-666,-666,N/A,0,1,3675,3,102,169,2,1
2,1698080190,-86400,666,666,-666,-666,-666,N/A,0,1,3675,3,102,169,2,1
2,1698080458,-86400,666,666,-666,-666,-666,N/A,0,1,3705,1,104,169,2,1
2,1698080468,-86400,666,666,-666,-666,-666,N/A,0,1,3705,1,104,169,2,1
2,1698080735,-86400,666,666,-666,-666,-666,N/A,0,1,3722,1,106,169,2,1
2,1698080745,-86400,666,666,-666,-666,-666,N/A,0,1,3722,1,106,169,2,1
2,1698081012,-86400,666,666,-666,-666,-666,N/A,0,1,3728,3,108,169,2,1
2,1698081022,-86400,666,666,-666,-666,-666,N/A,0,1,3728,3,108,169,2,1
2,1698081289,-86400,666,666,-666,-666,-666,N/A,0,1,3648,3,110,169,2,1
2,1698081300,-86400,666,666,-666,-666,-666,N/A,0,1,3648,3,110,169,2,1
2,1698081567,-86400,666,666,-666,-666,-666,N/A,0,1,3737,1,112,169,2,1
2,1698081578,-86400,666,666,-666,-666,-666,N/A,0,1,3737,1,112,169,2,1
2,1698081845,-86400,666,666,-666,-666,-666,N/A,0,1,3696,0,114,169,2,1
2,1698081855,-86400,666,666,-666,-666,-666,N/A,0,1,3696,0,114,169,2,1
2,1698082122,-86400,666,666,-666,-666,-666,N/A,0,1,3687,3,116,169,2,1
2,1698082132,-86400,666,666,-666,-666,-666,N/A,0,1,3687,3,116,169,2,1
2,1698082399,-86400,666,666,-666,-666,-666,N/A,0,1,3716,4,118,169,2,1
2,1698082409,-86400,666,666,-666,-666,-666,N/A,0,1,3716,4,118,169,2,1
2,1698082677,-86400,666,666,-666,-666,-666,N/A,0,1,3729,1,120,169,2,1
2,1698082687,-86400,666,666,-666,-666,-666,N/A,0,1,3729,1,120,169,2,1
2,1698082954,-86400,666,666,-666,-666,-666,N/A,0,1,3688,1,122,169,2,1
2,1698082964,-86400,666,666,-666,-666,-666,N/A,0,1,3688,1,122,169,2,1
2,1698083231,-86400,666,666,-666,-666,-666,N/A,0,1,3708,1,124,169,2,1
2,1698083241,-86400,666,666,-666,-666,-666,N/A,0,1,3708,1,124,169,2,1
2,1698083509,-86400,666,666,-666,-666,-666,N/A,0,1,3621,3,126,169,2,1
2,1698083519,-86400,666,666,-666,-666,-666,N/A,0,1,3621,3,126,169,2,1
2,1698083786,-86400,666,666,-666,-666,-666,N/A,0,1,3638,3,128,169,2,1
2,1698083796,-86400,666,666,-666,-666,-666,N/A,0,1,3638,3,128,169,2,1
2,1698084063,-86400,666,666,-666,-666,-666,N/A,0,1,3682,1,130,169,2,1
2,1698084073,-86400,666,666,-666,-666,-666,N/A,0,1,3682,1,130,169,2,1
2,1698084341,-86400,666,666,-666,-666,-666,N/A,0,1,3620,1,132,169,2,1
2,1698084351,-86400,666,666,-666,-666,-666,N/A,0,1,3620,1,132,169,2,1
2,1698084618,-86400,666,666,-666,-666,-666,N/A,0,1,3643,0,134,169,2,1
2,1698084628,-86400,666,666,-666,-666,-666,N/A,0,1,3643,0,134,169,2,1
2,1698084895,-86400,666,666,-666,-666,-666,N/A,0,1,3688,1,136,169,2,1
2,1698084905,-86400,666,666,-666,-666,-666,N/A,0,1,3688,1,136,169,2,1
2,1698085173,-86400,666,666,-666,-666,-666,N/A,0,1,3737,1,138,169,2,1
2,1698085183,-86400,666,666,-666,-666,-666,N/A,0,1,3737,1,138,169,2,1
2,1698085450,-86400,666,666,-666,-666,-666,N/A,0,1,3709,3,140,169,2,1
2,1698085460,-86400,666,666,-666,-666,-666,N/A,0,1,3709,3,140,169,2,1
2,1698166040,-86400,666,666,-666,-666,-666,N/A,0,1,4088,1,142,169,2,1
2,1698166051,-86400,666,666,-666,-666,-666,N/A,0,1,4088,1,142,169,2,1
2,1698166318,-86400,666,666,-666,-666,-666,N/A,0,1,4071,3,144,170,2,1
2,1698166328,-86400,666,666,-666,-666,-666,N/A,0,1,4071,3,144,170,2,1
2,1698166595,-86400,666,666,-666,-666,-666,N/A,0,1,4065,1,146,170,2,1
,,,,,,,,,,,,,,,,
2,1698167718,-86400,666,666,-666,-666,-666,N/A,0,1,4059,3,148,172,15,1
2,1698167728,-86400,666,666,-666,-666,-666,N/A,0,1,4059,3,148,172,15,1
2,1698168837,-86400,666,666,-666,-666,-666,N/A,0,1,4060,3,150,172,15,1
2,1698168848,-86400,666,666,-666,-666,-666,N/A,0,1,4060,3,150,172,15,1
2,1698169957,-86400,666,666,-666,-666,-666,N/A,0,1,4043,3,152,172,15,1
2,1698171067,-86400,666,666,-666,-666,-666,N/A,0,1,4040,3,154,172,15,1
2,1698171077,-86400,666,666,-666,-666,-666,N/A,0,1,4040,3,154,172,15,1
2,1698171087,-86400,666,666,-666,-666,-666,N/A,0,1,4040,3,154,172,15,1
2,1698172196,-86400,666,666,-666,-666,-666,N/A,0,1,4034,3,156,172,15,1
2,1698172206,-86400,666,666,-666,-666,-666,N/A,0,1,4034,3,156,172,15,1
2,1698173316,-86400,666,666,-666,-666,-666,N/A,0,1,4029,3,158,172,15,1
2,1698173326,-86400,666,666,-666,-666,-666,N/A,0,1,4029,3,158,172,15,1
2,1698250104,-86400,666,666,-666,-666,-666,N/A,0,1,4008,0,160,172,15,1
,,,,,,,,,,,,,,,,
2,1698251649,-86400,666,666,-666,-666,-666,N/A,0,1,4024,0,162,174,5,1
,,,,,,,,,,,,,,,,
2,1698254103,-86400,666,666,-666,-666,-666,N/A,0,1,4010,3803,164,176,5,1
2,1698254113,-86400,666,666,-666,-666,-666,N/A,0,1,4010,3803,164,176,5,1
2,1698254548,-86400,666,666,-666,-666,-666,N/A,0,1,4010,3162,166,177,5,1
,,,,,,,,,,,,,,,,
2,1698255345,-86400,666,666,-666,-666,-666,N/A,0,1,3998,3099,168,179,16,1
2,1698255355,-86400,666,666,-666,-666,-666,N/A,0,1,3998,3099,168,179,16,1
2,1698675284,-86400,666,666,-666,-666,-666,N/A,0,1,4026,3,0,0,60,1
2,1698675294,-86400,666,666,-666,-666,-666,N/A,0,1,4026,3,0,0,60,1
2,1698675501,-86400,666,666,-666,-666,-666,N/A,0,1,4019,3,3,0,60,1
2,1698675511,-86400,666,666,-666,-666,-666,N/A,0,1,4019,3,3,0,60,1
2,1698675761,-86400,666,666,-666,-666,-666,N/A,0,1,4036,3,5,186,60,1
2,1698675771,-86400,666,666,-666,-666,-666,N/A,0,1,4036,3,5,186,60,1
2,1698675781,-86400,666,666,-666,-666,-666,N/A,0,1,4036,3,5,186,60,1
2,1698675967,-86400,666,666,-666,-666,-666,N/A,0,1,4028,0,8,186,60,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,1698678534,-86400,666,666,-666,-666,-666,N/A,0,1,4021,3,11,191,45,1
2,1698678544,-86400,666,666,-666,-666,-666,N/A,0,1,4021,3,11,191,45,1
2,1698678554,-86400,666,666,-666,-666,-666,N/A,0,1,4021,3,11,191,45,1
2,1698767334,-86400,666,666,-666,-666,-666,N/A,0,1,4001,3,14,191,45,1
2,1698767344,-86400,666,666,-666,-666,-666,N/A,0,1,4001,3,14,191,45,1
2,1698767354,-86400,666,666,-666,-666,-666,N/A,0,1,4001,3,14,191,45,1
2,1698779196,-86400,666,666,-666,-666,-666,N/A,0,1,3681,2327,17,192,45,1
2,1698779206,-86400,666,666,-666,-666,-666,N/A,0,1,3681,2327,17,192,45,1
2,1698779216,-86400,666,666,-666,-666,-666,N/A,0,1,3681,2327,17,192,45,1
2,1698782273,-86400,666,666,-666,-666,-666,N/A,0,1,3515,2431,20,192,45,1
2,1698782283,-86400,666,666,-666,-666,-666,N/A,0,1,3515,2431,20,192,45,1
2,1698782293,-86400,666,666,-666,-666,-666,N/A,0,1,3515,2431,20,192,45,1
2,1698785348,-86400,666,666,-666,-666,-666,N/A,0,1,3543,2431,23,192,45,1
2,1698785358,-86400,666,666,-666,-666,-666,N/A,0,1,3543,2431,23,192,45,1
2,1698785368,-86400,666,666,-666,-666,-666,N/A,0,1,3543,2431,23,192,45,1
2,1698856065,1698856061,666,666,-666,-666,-666,N/A,0,1,3347,3780,56,192,45,0
,,,,,,,,,,,,,,,,
2,1698856085,1698856061,666,666,-666,-666,-666,N/A,0,1,3347,3780,56,192,45,0
2,1698856095,1698856061,666,666,-666,-666,-666,N/A,0,1,3347,3780,56,192,45,0
2,1698859151,-86400,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
2,1698859161,-86400,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
2,1698859172,-86400,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,1698859172,-86400,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
2,1698862228,-86400,666,666,-666,-666,-666,N/A,0,1,3178,3764,62,194,45,0
2,1698862238,-86400,666,666,-666,-666,-666,N/A,0,1,3178,3764,62,194,45,0
2,1698862248,-86400,666,666,-666,-666,-666,N/A,0,1,3178,3764,62,194,45,0
2,1698859172,-86400,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
2,1698859172,1698859172,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
2,1698859172,1698859172,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
2,1698859172,1698859172,666,666,-666,-666,-666,N/A,0,1,3315,3779,59,194,45,0
2,1698865303,-86400,666,666,-666,-666,-666,N/A,0,1,3282,3773,65,194,45,0
2,1698865313,-86400,666,666,-666,-666,-666,N/A,0,1,3282,3773,65,194,45,0
2,1698865323,-86400,666,666,-666,-666,-666,N/A,0,1,3282,3773,65,194,45,0
