Time;"device ID";Latitude;Longitude;Altitude;Speed;Degrees;Direction;Status;"Last RX time"
1669005179;1;52.436683;4.656083;47.2;8.189;10;NE;2;0
1669005219;1;52.434484;4.657623;43;4.176;10;NE;2;0
1669005240;1;52.434449;4.65753;44.6;0;10;NE;2;0
1669005260;1;52.434036;4.656958;45.4;4.425;10;NE;2;0
1669005280;1;52.43288;4.658451;45;10.386;10;NE;2;0
1669005300;1;52.431688;4.659124;43.8;9.158;10;NE;2;0
1669005341;1;52.43054;4.657274;43.5;0;10;NE;2;0
1669005381;1;52.430364;4.657065;43.5;6.85;10;NE;2;0
1669005420;1;52.42819;4.653427;44.2;8.994;10;NE;2;0
1669005458;1;52.427284;4.649305;43.2;12.255;10;NE;2;0
1669005516;1;52.423379;4.648354;42.6;0;10;NE;2;0
1669005632;1;52.423371;4.648368;43.2;0;10;NE;2;0
1669005651;1;52.42337;4.648369;43.2;0;10;NE;2;0
1669005669;1;52.423369;4.648371;43.3;0;10;NE;2;0
1669005709;1;52.421632;4.647588;44;11.836;10;NE;2;0
1669005728;1;52.419361;4.648213;43.9;13.711;10;NE;2;0
1669005748;1;52.417169;4.649156;45.8;8.025;10;NE;2;0
1669005785;1;52.416819;4.64932;45.5;5.982;10;NE;2;0
1669005825;1;52.41248;4.65102;44;13.141;10;NE;2;0
1669005846;1;52.410514;4.651317;45.1;7.705;10;NE;2;0
1669005866;1;52.40886;4.650542;44.7;3.9;10;NE;2;0
1669005908;1;52.406944;4.649601;41.7;13.325;10;NE;2;0
1669005929;1;52.404624;4.648366;40.7;7.978;10;NE;2;0
1669005967;1;52.401209;4.645162;43;12.139;10;NE;2;0
1669005985;1;52.399043;4.644271;43.6;12.926;10;NE;2;0
1669006006;1;52.397618;4.642907;43.8;2.488;10;NE;2;0
1669006026;1;52.39742;4.642766;44.4;3.866;10;NE;2;0
1669006047;1;52.395517;4.64146;44.4;12.422;10;NE;2;0
1669006066;1;52.39374;4.64058;44.5;12.547;10;NE;2;0
1669006120;1;52.389899;4.639508;51.8;10.231;10;NE;2;0
1669006664;1;52.386099;4.634225;68.8;4.948;10;NE;2;0
1669006703;1;52.383248;4.632684;71.1;10.72;10;NE;2;0
1669006722;1;52.381762;4.632096;72.1;8.794;10;NE;2;0
1669006741;1;52.380162;4.632809;70;6.508;10;NE;2;0
1669006760;1;52.380017;4.63288;65.2;0;10;NE;2;0
1669006778;1;52.3796;4.633401;64.7;5.956;10;NE;2;0
1669006797;1;52.378574;4.635061;64.6;9.346;10;NE;2;0
1669006817;1;52.377927;4.637272;65.5;8.288;10;NE;2;0
1669006835;1;52.377461;4.638613;63.7;7.937;10;NE;2;0
1669006854;1;52.377035;4.640259;65.5;7.347;10;NE;2;0
1669006873;1;52.376569;4.642314;60.8;10.149;10;NE;2;0
1669006892;1;52.374737;4.643591;59.3;11.652;10;NE;2;0
1669006912;1;52.372795;4.642905;56.5;11.424;10;NE;2;0
1669006931;1;52.371455;4.641313;53.2;5.462;10;NE;2;0
1669006952;1;52.370414;4.642196;55.8;10.102;10;NE;2;0
1669006991;1;52.36863;4.645538;57.5;9.227;10;NE;2;0
1669007010;1;52.368303;4.646347;53.7;0;10;NE;2;0
1669007029;1;52.36816;4.646737;53;6.8;10;NE;2;0
1669007047;1;52.367334;4.648776;52.6;10.933;10;NE;2;0
1669007066;1;52.365594;4.649962;52.6;11.944;10;NE;2;0
1669007085;1;52.363628;4.65078;50.7;12.563;10;NE;2;0
1669007103;1;52.361978;4.651509;52.7;5.072;10;NE;2;0
1669007123;1;52.360723;4.652103;54.2;8.836;10;NE;2;0
1669007143;1;52.360651;4.655185;57.3;10.711;10;NE;2;0
1669007162;1;52.360661;4.656485;58.1;0;10;NE;2;0
1669007182;1;52.360668;4.656481;59.2;0;10;NE;2;0
1669007201;1;52.360675;4.656483;61.5;0;10;NE;2;0
1669007240;1;52.360704;4.660229;60.2;11.858;10;NE;2;0
1669007260;1;52.360723;4.663748;56.4;11.883;10;NE;2;0
1669007297;1;52.358911;4.669272;61.7;16.88;10;NE;2;0
1669007316;1;52.355647;4.669512;41.3;19.452;10;NE;2;0
1669007335;1;52.352712;4.670199;44.8;18.966;10;NE;2;0
1669007372;1;52.346968;4.674428;44.7;15.516;10;NE;2;0
1669007411;1;52.344437;4.676928;39.7;0;10;NE;2;0
1669007431;1;52.343667;4.677729;41.1;8.322;10;NE;2;0
1669007450;1;52.342209;4.679193;43.1;10.982;10;NE;2;0
1669007470;1;52.339901;4.680286;49.3;14.708;10;NE;2;0
1669007553;1;52.330167;4.665444;46.6;17.344;10;NE;2;0
1669007572;1;52.32904;4.66072;46.3;17.833;10;NE;2;0
1669007594;1;52.327669;4.65585;46.3;15.946;10;NE;2;0
1669007640;1;52.324539;4.654208;44.7;0;10;NE;2;0
1669007657;1;52.324547;4.654215;44.6;0;10;NE;2;0
1669007677;1;52.324556;4.654211;44.4;0;10;NE;2;0
1669007696;1;52.324555;4.654216;44.5;0;10;NE;2;0
1669007737;1;52.32344;4.656619;46.4;10.288;10;NE;2;0
1669007779;1;52.321096;4.663429;43;12.375;10;NE;2;0
